School_Area,Latitude,Longitude,Year_Est
Athens,37.9947497,23.700224,2016
Alimos,37.9101608,23.7322446,2000
Ilion,38.0464114,23.7229778,1992
Pallini,38.0096108,23.8979395,1988
Piraeus,37.9542719,23.6398626,1995
Amyntaio,40.696592,21.6738205,2001
Veria,40.4962403,22.2373646,2009
Giannitsa,40.7829187,22.3994407,1996
Drama,41.1395431,24.1784014,1994
Thessaloniki,40.5929594,22.9843312,1992
Kavala,40.935852,24.3642968,1996
Kastoria,40.5317974,21.2548777,2017
Katerini,40.2630866,22.507087,2000
Ptolemaida,40.5083363,21.6867183,2001
Serres,41.0734611,23.5544397,1994
Siatista,40.2525626,21.5503926,1997
Agrinio,38.6074879,21.4101169,1997
Amfissa,38.5255802,22.3803276,2010
Lamia,38.8896458,22.3938315,2001
Livadeia,38.3925025,22.9315581,2017
Chalkida,38.3848396,23.5943279,2014
Argolida,37.7120187,22.8307063,2009
Vartholomio,37.8557033,21.199705,1996
Kalamata,37.0260582,22.1291159,1993
Patras,38.222993,21.7608203,1991
Korinthos,37.9338068,22.9682022,2007
Sparta,37.118745,22.4271931,2001
Tripoli,37.5008865,22.3619851,2015
Volos,39.3742798,22.9507186,1997
Karditsa,39.3811732,21.913829,1994
Larissa,39.6174607,22.4022394,1992
Trikala,39.5425728,21.7934127,1997
Arta,39.1624092,20.9155639,2009
Ioannina,39.6831259,20.8353578,1989
Preveza,38.972309,20.7455856,2009
Alexandroupolis,40.8532377,25.8679422,2015
Komotini,41.1226942,25.3910603,1993
Xanthi,41.0903263,24.8999408,1997
Irakleio,35.3279314,25.280947,2000
Lasithi,35.0125314,25.7322856,2020
Rethymno,35.3642878,24.4811354,1991
Chania,35.5232458,24.049877,2009
Mytilene,39.1484043,26.5217623,1994
Rhodes,36.3866323,28.1979042,1993
Chios,38.3123694,26.1324302,2005
Samos,37.7523014,26.9769846,2018
Zakynthos,37.7761458,20.8935652,1989
Corfu,39.6625765,19.8363108,1991
Lefkada,38.8254384,20.7082905,1993
